source,productioncenter,domain,timestamp,year,month,day,hour,minute,second,id,latitude,longitude,coordinate,type,region,level,description,domain2,tags,name,ns1:lang,id3,description4,type5,type6,h,datetime,day7,value,unit
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501241,-6.866666668,109.05,109.05 -6.866666668,land,,1,Brebes,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,4,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501242,-7.716666668,109.000001,109.000001 -7.716666668,land,,1,Cilacap,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,63,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,63,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501243,-6.883333335,110.6333,110.6333 -6.883333335,land,,1,Demak,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,63,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,95,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501244,-6.63,110.66,110.66 -6.63,land,,1,Jepara,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,63,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501245,-7.04079,109.65707,109.65707 -7.04079,land,,1,Kajen,Jawa Tengah,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,61,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,4,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,37,501246,-7.61315,110.9622,110.9622 -7.61315,land,,1,Karanganyar,Jawa Tengah,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,3,icon
